Date,Time,Session ID,Player ID,Sensor ID,Impact ID,Sample Num,Linear Acc x g,Linear Acc y g,Linear Acc z g,Linear Acc Mag g,Angular Vel x rad/s,Angular Vel y rad/s,Angular Vel z rad/s,Angular Vel Mag rad/s,Angular Acc x rad/s2,Angular Acc y rad/s2,Angular Acc z rad/s2,Angular Acc Mag rad/s2
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,32,-2.45,-3.23,1.27,4.25,0.3408,0.3237,0.2309,0.5237,116.45,58.65,-6.01,130.52
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,33,-2.84,-3.03,1.96,4.59,0.4532,0.3836,0.2272,0.6358,112.8,60.81,0.5,128.15
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,34,-2.84,-2.25,1.27,3.84,0.5656,0.4447,0.2309,0.7556,106.91,60.84,2.34,123.04
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,35,-3.13,-2.84,2.15,4.74,0.6658,0.5045,0.2321,0.867,95.88,57.99,5.6,112.19
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,36,-3.43,-2.35,0.68,4.21,0.7586,0.5607,0.2419,0.9739,90.4,54.59,8.66,105.95
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,37,-3.23,-1.76,0.39,3.7,0.8466,0.6157,0.248,1.0758,84.9,59.45,5.69,103.8
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,38,-3.43,-2.54,1.27,4.45,0.9272,0.6792,0.2541,1.1772,74.25,62.51,6.8,97.3
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,39,-3.23,-2.84,0.19,4.3,0.9957,0.7391,0.2614,1.2673,66.39,58.94,7.3,89.08
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,40,-2.54,-1.86,0.19,3.16,1.0604,0.7977,0.2675,1.3537,59.74,58.24,2.85,83.48
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,41,-2.45,-1.86,0.98,3.22,1.1154,0.8564,0.2675,1.4315,53.75,61.11,0.59,81.39
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,42,-2.84,-1.96,0.49,3.48,1.1679,0.9187,0.2687,1.5101,47.34,58.85,-1.95,75.55
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,43,-3.33,-2.45,0.19,4.14,1.2107,0.9737,0.2638,1.5759,43.5,55.1,-3.94,70.31
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,44,-2.64,-1.96,1.07,3.46,1.2547,1.0299,0.2614,1.6442,39.41,55.43,-3.14,68.09
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,45,-3.43,-1.96,1.66,4.28,1.2877,1.0848,0.2565,1.7032,28,56.2,-6.9,63.16
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,46,-2.94,-1.66,1.17,3.57,1.3109,1.1423,0.248,1.7563,18.19,57.98,-9.05,61.44
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,47,-2.64,-2.25,0,3.47,1.3243,1.1985,0.2394,1.8021,8.43,50.18,-6.85,51.34
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,48,-3.23,-2.84,0,4.3,1.3292,1.2437,0.2333,1.8352,4.71,47.14,-8.63,48.15
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,49,-3.33,-1.86,1.07,3.96,1.3329,1.2938,0.2211,1.8706,-2.13,48.26,-14.15,50.34
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,50,-2.64,-2.05,0.78,3.44,1.3231,1.339,0.2052,1.8936,-16.61,44.34,-18.04,50.68
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,51,-2.25,-2.45,0.88,3.44,1.3011,1.3817,0.1844,1.9069,-25.16,37.95,-24.35,51.63
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,52,-2.94,-1.96,-0.58,3.58,1.2742,1.4147,0.1563,1.9104,-29.5,30.85,-31.55,53.08
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,53,-3.33,-1.86,0.88,3.91,1.2437,1.444,0.1221,1.9097,-28.6,25.93,-35.29,52.31
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,54,-2.25,-2.35,0,3.25,1.218,1.4672,0.0855,1.9089,-23.84,22.74,-39.69,51.58
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,55,-3.23,-3.23,0.49,4.59,1.1948,1.4905,0.0415,1.9107,-24.15,22.84,-49.05,59.26
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,56,-3.72,-3.03,-0.09,4.8,1.1691,1.5137,-0.0122,1.9127,-27.26,26.35,-57.66,69.01
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,57,-2.94,-3.62,1.56,4.92,1.1423,1.5418,-0.0708,1.9201,-22.24,24.5,-54.14,63.46
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,58,-3.72,-2.54,1.96,4.91,1.1252,1.5613,-0.1209,1.9283,-14.48,16.98,-52.22,56.79
12/21/2019,37:10.6,ByxRXG5Rr,13,4771C65400180005,4,59,-2.74,-2.84,0.39,3.96,1.1105,1.5772,-0.1783,1.9372,-18.35,15.6,-62.49,66.98
